Shipper,Consignee,Port of Unlading,Port of Lading
Zf Wind Power Coimbatore Ltd.,Ge Vernova International Llc,"The Port of Pensacola, Pensacola, Florida","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Ge Vernova Operations Llc,"The Port of Pensacola, Pensacola, Florida","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Ge International Inc.,"The Port of Pensacola, Pensacola, Florida","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Ge Renewables North America,"The Port of Pensacola, Pensacola, Florida","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Vestas Nacelles America Inc.,"Freeport, Freeport, Texas","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Ge Vernova International Inc.,"The Port of Pensacola, Pensacola, Florida","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Zf Services Llc,"Baltimore, Maryland","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Siemens Gamesa Renewable Energy Eol,"Houston, Houston, Texas","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Ge Renewables North America,"Baltimore, Maryland","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Vestas Nacelles America Inc.,"The Port of Pensacola, Pensacola, Florida","All Other India East Coast Ports, India"
Zf Wind Power Coimbatore Ltd.,Vestas Nacelles America Inc.,"Houston, Houston, Texas","All Other India East Coast Ports, India"
,Revolution Wind Llc,"ProvPort, Providence, Rhode Island","Dordrecht, Netherlands"
,Revolution Wind Llc,"New York/Newark Area, Newark, New Jersey","Liverpool, United Kingdom"
,Windarmex Sa De Cv,"Houston, Houston, Texas","Zhanjiang, China"
,Windarmex Sa De Cv,"Houston, Houston, Texas","Taicang, China"
,Revolution Wind Llc,"ProvPort, Providence, Rhode Island","Aigion, Greece"
,Vestas American Wind,"The Port of Brownsville, Brownsville, Texas","Pohang, South Korea"
,Vestas American Wind,"Baltimore, Maryland","Pohang, South Korea"
,Vestas American Wind,"Buffalo?Niagara Falls, New York","Pohang, South Korea"
,Vestas American Wind,"Corpus Christi, Corpus Christi, Texas","Pohang, South Korea"
"Vsp Enterprises Pvt., Ltd.",Wind Turbine And Energy Cables Corp.,"Port Manatee, Florida","Mumbai, India"
"Vsp Enterprises Pvt., Ltd.",Wind Turbine And Energy Cables Corp.,"Houston, Houston, Texas","All Other India West Coast Ports, India"
Vineyard Wind 1 Llc,Vineyard Wind 1 Llc,"Plymouth, Massachusetts","All Other Canada Atlantic Region Ports, Canada"
Vestas Wind Technology India,Vestas American Wind,"Buffalo?Niagara Falls, New York","All Other India East Coast Ports, India"
Vestas Wind Technology India,Vestas American Wind,"Houston, Houston, Texas","All Other India East Coast Ports, India"
Vestas Wind Technology India,Vestas American Wind,"Houston, Houston, Texas","Chennai, India"
Vestas Wind Technology (China) Co.,Vestas Do Brazil Energia Eolica,"Houston, Houston, Texas","Dagu/Tanggu, China"
Vestas Wind Tech,Vestas American Wind,"Houston, Houston, Texas","Tianjin, China"
Vestas Northern Europe A S,Vestas American Wind,"Port Hueneme, California","Zeebrugge, Belgium"
Vestas Mfg. Sp A In S.L.U.,Vestas American Wind,"Corpus Christi, Corpus Christi, Texas","Motril, Spain"
Vestas Mfg. A S,Vestas American Wind,"New York/Newark Area, Newark, New Jersey","Antwerp, Belgium"
Vestas Mfg. A S,Vestas American Wind,"Corpus Christi, Corpus Christi, Texas","Nantong, China"
Vestas Mfg. A S,Vestas American Wind,"Houston, Houston, Texas","All Other China (Taiwan) Ports, Taiwan"
Vestas Mfg. A S,Vestas American Wind,"Corpus Christi, Corpus Christi, Texas","Motril, Spain"
Vestas Mfg. A S,Vestas American Wind,"Baltimore, Maryland","All Other Mexico East Coast Region Ports, Mexico"
Vestas Mfg. A S,Vestas American Wind,"Baltimore, Maryland","Esbjerg, Denmark"
Vestas Mfg. A S,Vestas American Wind,"Baltimore, Maryland","Antwerp, Belgium"
Vestas Mfg. A S,Vestas American Wind,"Houston, Houston, Texas","Esbjerg, Denmark"
Vestas,Vestas American Wind,"Corpus Christi, Corpus Christi, Texas","Motril, Spain"
"Vesta Wind Tech. India Pvt., Ltd.",Vestas American Wind,"Houston, Houston, Texas","Chennai, India"
Vergo Enerji Sistemleri San Ve Tic,Wind Turbine And Energy Cables Corp.,"Houston, Houston, Texas","Gemlik, Turkey"
"Tpi Composites India Pvt., Ltd.",Vestas American Wind,"Houston, Houston, Texas","New Tuticorin, India"
"Tpi Composites India Pvt., Ltd.",Vestas American Wind,"The Port of Brownsville, Brownsville, Texas","New Tuticorin, India"
"Tpi Composites India Pvt., Ltd.",Vestas American Wind,"Port of Vancouver USA, Vancouver, Washington","New Tuticorin, India"
"Tpi Composites India Pvt., Ltd.",Vestas American Wind,"Erie-Western Pennsylvania Port Authority, Erie, Pennsylvania","New Tuticorin, India"
Tianjin Haoshuo Metal Products,Nordex Usa Inc.,"Corpus Christi, Corpus Christi, Texas","Dagu/Tanggu, China"
Siemens Gamesa Renewable Energy Eol,Siemens Gamesa Renewable Energy,"Houston, Houston, Texas","Bilbao, Spain"
Siemens Gamesa Renewable Energy A S,Siemens Gamesa Rebewable Energy Inc.,"Port Of Entry-New London, New London, Connecticut","Aalborg, Denmark"
Siemens Gamesa Renewable Energy A S,Siemens Gamesa Renewable Energy,"Port Of Entry-New London, New London, Connecticut","Argentia, Nfld, Canada"
Siemens Gamesa Renewable Energy A S,North East Offshore Llc Delaware,"Port Of Entry-New London, New London, Connecticut","Argentia, Nfld, Canada"
Siemens Gamesa Renewable Energy A S,Revolution Wind Llc,"Port Of Entry-New London, New London, Connecticut","Aalborg, Denmark"
Siemens Gamesa Renewable Energy A S,Sunrise Wind Llc,"Port Of Entry-New London, New London, Connecticut","Esbjerg, Denmark"
Siemens Gamesa Renewable Energy A S,Siemens Gamesa Renewable Energy Inc.,"Port of Virginia, Norfolk, Virginia","Aalborg, Denmark"
Siemens Gamesa Renewable Energy A S,Revolution Wind Llc,"Port Of Entry-New London, New London, Connecticut","All Other Denmark Ports, Denmark"
Siemens Gamesa Renewable Energy A S,Siemens Gamesa Renewable Energy,"Port of Virginia, Norfolk, Virginia","Aveiro, Portugal"
Siemens Gamesa Renewable Energy A S,North East Offshore Llc Delaware,"Port Of Entry-New London, New London, Connecticut","Aalborg, Denmark"
Siemens Gamesa Renewable Energy A S,Siemens Gamesa Renewable Energy,"Port Of NewHampshire, Portsmouth, New Hampshire","Aveiro, Portugal"
Siemens Gamesa Renewable Energy A S,Siemens Gamesa Renewable Energy Inc.,"Port Of Entry-New London, New London, Connecticut","Aalborg, Denmark"
Siemens Gamesa Renewable Energy A S,Revolution Wind Llc,"Port Of Entry-New London, New London, Connecticut","Esbjerg, Denmark"
Siemens Gamesa Renewable Energy A S,Siemens Gamesa Renewable Energy,"Port of Virginia, Norfolk, Virginia","Altamira, Mexico"
Siemens Gamesa Renewable Energy A S,Siemens Gamesa Renewable Energy,"Port of Virginia, Norfolk, Virginia","Cuxhaven, Germany"
Siemens Gamesa Renewable Energy A S,Siemens Gamesa Renewable Energy,"Port Of Entry-New London, New London, Connecticut","Esbjerg, Denmark"
Siemens Gamesa Renewable Energy A S,Siemens Gamesa Renewable Energy,"Port Of NewHampshire, Portsmouth, New Hampshire","Aalborg, Denmark"
Siemens Gamesa Renewable Energy A S,Siemens Gamesa Renewable Energy,"Port Of Entry-New London, New London, Connecticut","Aalborg, Denmark"
Siemens Energy Austria Gmb H,Eversource Revolution Wind Llc,"New York/Newark Area, Newark, New Jersey","Antwerp, Belgium"
Siemens Aktiengesellschaft,Eversource Revolution Wind Llc,"New York/Newark Area, Newark, New Jersey","Antwerp, Belgium"
Pt Kenertec Power System,Nordex Usa Inc.,"Baltimore, Maryland","All Other Indonesia Ports, Indonesia"
"Paruthi Engineers Pvt., Ltd.",Wind Turbine And Energy Cables Corp.,"Port Manatee, Florida","Mumbai, India"
"Paruthi Engineers Pvt., Ltd.",Wind Turbine And Energy Cables Corp.,"Houston, Houston, Texas","All Other India West Coast Ports, India"
"Nordex India Pvt., Ltd.",Nordex Usa Inc.,"Corpus Christi, Corpus Christi, Texas","New Tuticorin, India"
Nordex Energy Spain Sau,Nordex Usa Inc.,"Corpus Christi, Corpus Christi, Texas","New Tuticorin, India"
Nordex Energy Spain Sau,Nordex Usa Inc.,"The Port of Brownsville, Brownsville, Texas","All Other China (Taiwan) Ports, Taiwan"
Nordex Energy Spain S.A.Unipersonal,Nordex Energy Brasil Com E Ind,"Corpus Christi, Corpus Christi, Texas","Tianjin, China"
Nordex Energy Spain S.A.Unipersonal,Nordex Usa Inc.,"Corpus Christi, Corpus Christi, Texas","Tianjin, China"
Nordex Energy Spain S.A.Unipersonal,Nordex Energy Mexico S. De Rl De Cv,"Corpus Christi, Corpus Christi, Texas","Tianjin, China"
Nordex Energy Gmb H,Nordex Energy Mexico S. De Rl De Cv,"Corpus Christi, Corpus Christi, Texas","Tianjin, China"
Nordex Energy Gmb H,Nordex Usa Inc.,"Port of Stockton, Stockton, California","Izmir, Turkey"
Nordex Blades Spain S.A.,Parque Eolico Antofagasta Sp A,"The Port of Brownsville, Brownsville, Texas","All Other Spain Atlantic Region Ports North Of Por, Spain"
"Ningbo Rixing Foundry Co., Ltd.",Ge Renewables North America Llc,"Alabama State Port Authority, Mobile, Alabama","Taicang, China"
Nantong Aeolon Wind Energy Tecgnol,Vestas American Wind,"Baltimore, Maryland","Nantong, China"
Nantong Aeolon Wind Energy Tecgnol,Vestas American Wind,"Corpus Christi, Corpus Christi, Texas","Ningbo, China"
Nantong Aeolon Wind Energy Tecgnol,Vestas American Wind,"Corpus Christi, Corpus Christi, Texas","All Other China (Taiwan) Ports, Taiwan"
Nantong Aeolon Wind Energy,Vestas American Wind,"Corpus Christi, Corpus Christi, Texas","All Other Peoples Republic of China Ports, China"
Nantong Aeolon Wind Energy,Vestas American Wind,"Port of Stockton, Stockton, California","All Other China (Taiwan) Ports, Taiwan"
Nantong Aelon Wind Energy Technolog,Vestas American Wind,"Houston, Houston, Texas","All Other Peoples Republic of China Ports, China"
Nantong Aelon Wind Energy Technolog,Vestas American Wind,"Corpus Christi, Corpus Christi, Texas","All Other Peoples Republic of China Ports, China"
Lm Wind Power Spain S.A.,Ge Renewables North America Llc,"Illinois International Port District, Chicago, Illinois","Castellon, Spain"
Lm Wind Power Canada,Ge Offshore Wind,"Newport, Rhode Island","Sydney, Ns, Canada"
Lm Wind Power Canada,Ge Marshalling Harbour,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Sydney, Ns, Canada"
Lm Wind Power Blades Technology,Ge Renewables North America Llc,"Port of Galveston, Galveston, Texas","Tianjin, China"
Lm Wind Power Blades Ind,Ge Renewables North America,"Port of Galveston, Galveston, Texas","Kandla, India"
Lm Wind Power Blade Canada Inc.,Ge Renewables North America,"Houston, Houston, Texas","Gaspe, Que, Canada"
"Lm China Investment Co., Ltd.",Ge Renewables North America Llc,"Port of Galveston, Galveston, Texas","Tianjin, China"
General Electric Wind Denmark,Ge Marshalling Harbour,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Esbjerg, Denmark"
Ge Wind France Sas,Ge Renewable Us Llc,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Cherbourg, France"
Ge Wind France Sas,Ge Marshalling Harbour,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Esbjerg, Denmark"
Ge Wind France Sas,Ge Marshalling Harbour,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Cherbourg, France"
Ge Wind France Sas,Ge Marshalling Harbour,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Montoir, France"
Flender Gmb H,Vestas Nacelles America Inc.,"Freeport, Freeport, Texas","Gioia Tauro, Italy"
Flender Gmb H,Vestas Nacelles America Inc.,"Freeport, Freeport, Texas","Vigo, Spain"
"Flender Drives Pvt., Ltd.",Ge Vernova International Llc,"The Port of Pensacola, Pensacola, Florida","All Other India East Coast Ports, India"
"Flender Drives Pvt., Ltd.",Ge Renewables North America,"The Port of Pensacola, Pensacola, Florida","All Other India East Coast Ports, India"
"Flender Drives Pvt., Ltd.",Vestas Nacelles America Inc.,"Houston, Houston, Texas","All Other India East Coast Ports, India"
Cs Wind Offshore A S,Revolution Wind Llc,"ProvPort, Providence, Rhode Island","Odense, Denmark"
Boskalis Offshore Subsea Contractin,Revolution Wind Llc,"ProvPort, Providence, Rhode Island","Kristiansand N, Norway"
Aeris Industries E Com.De Equip. Para Ger,Vestas American Wind,"Corpus Christi, Corpus Christi, Texas","Pecem, Brazil"
Aeris Ind E Com De Equipment Para,Vestas American Wind,"Corpus Christi, Corpus Christi, Texas","Pecem, Brazil"
TBN,Nordex Usa Inc.,"Corpus Christi, Corpus Christi, Texas","Pecem, Brazil"
TBN,Siemens Gamesa Renewable Energy Inc.,"Baltimore, Maryland","Aveiro, Portugal"
TBN,Ge Renewables North America Llc,"Port of Galveston, Galveston, Texas","Eemshaven, Netherlands"
TBN,Nordex Usa Inc.,"Baltimore, Maryland","Aliaga, Turkey"
TBN,Ge Renewables North America,"Houston, Houston, Texas","Gaspe, Que, Canada"
TBN,Nordex Usa Inc.,"Corpus Christi, Corpus Christi, Texas","Dagu/Tanggu, China"
TBN,Ge Renewables North America Llc,"Houston, Houston, Texas","New Tuticorin, India"
TBN,Ge Renewables North America,"Houston, Houston, Texas","All Other Spain Atlantic Region Ports North Of Por, Spain"
TBN,Nordex Usa Inc.,"Port of Stockton, Stockton, California","All Other Indonesia Ports, Indonesia"
TBN,Ge Renewables North America Llc,"Port of Galveston, Galveston, Texas","All Other China (Taiwan) Ports, Taiwan"
TBN,Siemens Gamesa Renewable Energy,"The Port of Brownsville, Brownsville, Texas","Shanghai, China"
TBN,Ge Renewables North America Llc,"Corpus Christi, Corpus Christi, Texas","Castellon, Spain"
TBN,Ge Renewables North America Llc,"Port of Vancouver USA, Vancouver, Washington","All Other India West Coast Ports, India"
TBN,Ge Renewables North America,"Corpus Christi, Corpus Christi, Texas","Castellon, Spain"
TBN,Siemens Gamesa Renewable,"Port Of Entry-New London, New London, Connecticut","Aalborg, Denmark"
TBN,Ge Renewables North America,"The Port of Pensacola, Pensacola, Florida","Shanghai, China"
TBN,Ge Renewables North America Llc,"The Port of Pensacola, Pensacola, Florida","Shanghai, China"
TBN,Ge Renewables North America,"Corpus Christi, Corpus Christi, Texas","Gaspe, Que, Canada"
TBN,Nordex Usa Inc.,"Port of Vancouver USA, Vancouver, Washington","New Tuticorin, India"
TBN,Ge Renewables North America,"Houston, Houston, Texas","New Tuticorin, India"
TBN,Ge Renewables North America,"Corpus Christi, Corpus Christi, Texas","All Other India West Coast Ports, India"
TBN,Ge Renewables North America,"Port of Galveston, Galveston, Texas","All Other India West Coast Ports, India"
TBN,Ge Renewables North America Llc,"Duluth Seaway Port Authority, Duluth, Wisconsin","Gaspe, Que, Canada"
TBN,Ge Renewables North America Llc,"Port of Gary, Gary, Indiana","Castellon, Spain"
TBN,Nordex Usa Inc.,"Port of Stockton, Stockton, California","Emden, Germany"
TBN,Ge Renewables North America,"Duluth Seaway Port Authority, Duluth, Wisconsin","Gaspe, Que, Canada"
TBN,Ge Renewables North America Llc,"Port of Galveston, Galveston, Texas","Tianjin, China"
TBN,Ge Renewables North America Llc,"Corpus Christi, Corpus Christi, Texas","Tianjin, China"
TBN,Siemens Gamesa Renewable Energy,"Port of Galveston, Galveston, Texas","Aveiro, Portugal"
TBN,Ge Renewables North America,"Port of Galveston, Galveston, Texas","Kandla, India"
TBN,Ge Renewables North America,"Houston, Houston, Texas","El Ferrol, Spain"
TBN,Ge Renewables North America Llc,"Alabama State Port Authority, Mobile, Alabama","Taicang, China"
TBN,Ge Renewables North America Llc,"Corpus Christi, Corpus Christi, Texas","All Other India West Coast Ports, India"
TBN,Ge Renewables North America,"Corpus Christi, Corpus Christi, Texas","El Ferrol, Spain"
TBN,Ge Renewables North America,"Alabama State Port Authority, Mobile, Alabama","Shanghai, China"
TBN,Ge Renewables North America,"Alabama State Port Authority, Mobile, Alabama","Taicang, China"
TBN,Ge Renewables North America Llc,"Port of Galveston, Galveston, Texas","All Other India West Coast Ports, India"
TBN,Ge Renewables North America,"Freeport, Freeport, Texas","Masan, South Korea"
